Cow ID,Breed,Age,Weight (kg),Lactation Stage,Daily Feed (kg),Protein %,Fat %,Fiber %,Milk Yield (L/day),Milk Fat %,Temp (°C),Humidity (%)
020,Jersey,7,632.87,Mid,29.34,19.52,6.73,22.64,34.47,3.66,24.44,75.28
021,Holstein,9,538.35,Mid,17.22,12.37,7.13,18.71,18.63,4.18,20.55,56.38
022,Holstein,7,648.37,Early,25.19,14.56,6.48,20.5,28.1,3.86,18.39,51.6
023,Jersey,4,418.3,Late,18.37,15.51,7.62,13.99,19.97,4.75,28.09,40.58
024,Jersey,7,748.61,Early,21.47,19.19,7.1,25.01,25.37,4.68,27.22,62.99
025,Holstein,2,789.4,Late,25.79,19.7,5.81,24.93,30.76,4.74,18.51,56.09
026,Holstein,3,787.55,Early,23.45,15.55,6.36,12.91,25.52,4.59,18.01,54.99
027,Holstein,8,699.86,Late,21.41,18.0,7.63,27.56,25.26,4.75,25.73,47.32
028,Guernsey,4,452.03,Mid,19.9,16.25,6.1,15.38,22.07,3.8,19.72,57.2
029,Guernsey,9,703.31,Late,27.59,16.3,7.12,29.65,32.44,4.18,19.6,79.38
030,Guernsey,3,409.83,Early,17.16,14.22,6.44,17.66,18.85,4.54,17.28,51.91
031,Jersey,4,408.85,Mid,21.45,13.74,5.76,13.56,23.09,4.46,18.96,63.99
032,Guernsey,6,529.44,Late,28.56,14.3,4.21,17.03,31.62,4.57,21.41,71.06
033,Jersey,5,595.46,Late,27.69,16.45,5.13,18.8,31.37,3.84,25.99,69.97
034,Jersey,6,708.16,Late,21.01,12.23,7.84,11.39,21.85,3.65,20.04,53.15
035,Guernsey,7,673.32,Late,26.45,19.26,6.29,21.56,30.92,4.88,19.93,64.43
036,Jersey,3,578.36,Late,27.35,13.25,5.82,21.95,30.44,4.34,19.27,74.85
037,Guernsey,7,509.45,Mid,28.33,13.76,7.66,24.78,31.82,3.73,22.17,40.62
038,Guernsey,5,798.85,Mid,23.17,16.15,5.93,10.58,25.13,4.69,17.71,57.43
039,Holstein,4,570.47,Mid,18.07,17.68,5.63,20.82,20.83,4.87,22.28,48.97
040,Guernsey,5,580.55,Mid,18.83,12.77,6.8,11.06,19.75,3.75,25.56,55.55
041,Holstein,2,465.45,Early,19.44,14.54,6.56,24.02,22.02,4.73,15.45,56.64
042,Guernsey,5,717.92,Mid,23.91,19.75,3.97,11.11,27.09,4.9,15.15,69.87
043,Guernsey,2,677.47,Late,15.49,14.1,5.36,28.23,17.9,4.91,16.13,43.75
044,Holstein,5,488.31,Late,24.54,14.5,5.36,24.04,27.94,4.87,23.03,60.5
045,Holstein,8,432.95,Mid,20.47,18.69,4.89,20.15,23.81,4.32,27.82,62.57
046,Guernsey,2,672.2,Late,19.43,12.4,5.59,18.83,21.18,4.03,15.07,59.77
047,Jersey,3,661.8,Mid,28.19,15.72,5.07,12.61,30.87,3.51,29.05,69.27
048,Holstein,7,509.3,Late,21.9,15.04,4.0,15.82,24.3,3.59,16.59,55.35
049,Jersey,9,780.35,Early,16.43,14.53,5.06,27.38,19.01,4.14,27.63,77.8
050,Jersey,7,460.42,Early,27.4,14.29,3.36,28.09,31.96,4.1,22.24,59.27
051,Jersey,6,572.93,Mid,15.71,12.73,5.88,10.01,16.46,3.78,24.89,62.85
052,Holstein,7,777.45,Mid,25.9,14.52,7.27,21.88,28.96,4.09,22.66,73.02
053,Jersey,4,567.89,Mid,26.61,12.34,6.63,24.39,29.6,3.76,22.16,51.01
054,Holstein,8,655.41,Late,20.29,18.25,4.8,22.37,23.75,4.77,27.52,43.01
055,Jersey,5,559.04,Mid,27.37,15.19,3.44,11.63,29.91,3.95,26.34,68.31
056,Guernsey,6,509.69,Early,22.73,15.55,4.01,14.35,25.17,4.4,22.25,59.32
057,Guernsey,4,793.59,Late,21.95,19.15,5.73,15.01,24.98,4.25,16.67,75.86
058,Holstein,4,563.73,Mid,15.68,17.26,4.04,26.63,18.59,3.58,16.73,79.31
059,Guernsey,2,757.64,Late,19.35,12.06,5.72,19.26,21.06,4.91,27.02,55.96
060,Guernsey,7,491.98,Late,28.97,19.55,4.16,19.74,33.99,4.29,22.94,56.62
061,Jersey,3,485.24,Mid,20.88,13.9,7.24,28.7,23.93,3.99,22.22,56.32
062,Holstein,9,412.45,Late,23.2,12.86,4.99,22.74,25.92,3.74,25.21,52.98
063,Jersey,3,660.67,Early,22.98,18.15,4.23,27.97,27.58,4.01,27.88,71.27
064,Jersey,6,547.41,Early,23.86,16.0,7.06,19.13,26.73,3.53,24.43,70.36
065,Jersey,8,745.74,Late,15.92,15.47,4.71,12.99,17.45,4.05,26.44,59.15
066,Jersey,3,589.28,Mid,20.43,14.0,3.56,28.6,23.81,4.3,26.48,41.79
067,Jersey,5,787.28,Late,25.85,16.38,5.85,19.17,29.22,4.81,20.34,52.38
068,Jersey,3,474.21,Early,18.01,14.2,5.91,13.63,19.46,4.53,19.11,51.69
069,Jersey,6,747.45,Late,18.05,19.21,6.57,16.05,20.57,3.67,27.02,72.44
070,Holstein,9,710.64,Late,15.15,13.72,4.2,11.02,16.23,3.72,20.66,43.5
071,Guernsey,3,708.37,Early,21.56,19.07,5.22,19.37,25.04,4.14,28.55,72.23
072,Jersey,5,737.91,Late,28.24,16.48,4.41,27.06,33.27,3.79,16.05,66.77
073,Jersey,2,704.41,Late,15.78,18.63,3.4,28.67,19.14,3.54,15.87,69.3
074,Jersey,8,650.49,Mid,17.87,17.7,7.38,28.65,21.15,4.71,28.91,57.29
075,Jersey,6,452.5,Mid,19.65,17.57,6.64,12.5,21.71,3.53,24.73,67.19
076,Jersey,2,413.01,Early,25.98,14.59,4.51,17.64,28.88,4.75,20.69,64.36
077,Jersey,2,768.34,Early,24.61,13.87,6.0,10.56,26.12,3.72,26.33,70.76
078,Guernsey,2,646.66,Early,21.24,13.69,4.01,27.1,24.48,4.96,25.08,57.87
079,Guernsey,4,718.61,Mid,26.39,18.86,7.45,17.18,30.01,4.41,22.97,58.91
080,Jersey,8,592.61,Early,24.14,18.56,3.57,22.62,28.51,4.6,16.48,65.74
081,Guernsey,9,446.92,Early,28.44,15.52,3.02,24.3,33.04,3.67,27.18,44.32
082,Holstein,7,450.07,Early,27.27,13.06,5.51,18.6,29.89,4.79,27.99,57.45
083,Jersey,8,674.23,Mid,18.79,15.06,5.92,16.13,20.7,4.76,17.58,78.88
084,Holstein,4,572.12,Late,19.07,16.95,5.89,29.24,22.62,4.48,27.76,41.5
085,Holstein,7,480.21,Early,16.88,15.64,3.27,29.29,20.03,4.25,28.17,52.64
086,Jersey,8,596.64,Late,20.05,18.24,4.57,15.79,22.83,4.58,23.24,52.56
087,Guernsey,2,425.68,Early,29.99,19.98,5.5,19.59,35.1,3.51,24.84,65.34
088,Holstein,6,632.79,Late,21.09,13.53,4.08,29.46,24.51,4.39,20.73,44.23
089,Jersey,7,507.6,Mid,18.31,15.68,7.36,10.1,19.6,4.77,19.23,65.14
090,Holstein,5,719.02,Mid,26.44,15.45,3.44,18.25,29.84,4.04,25.83,43.8
091,Holstein,5,524.14,Early,23.14,14.44,5.44,12.01,24.93,3.66,27.93,43.8
092,Holstein,3,582.09,Late,17.24,13.58,6.46,20.18,19.04,4.13,24.81,69.13
093,Holstein,7,404.65,Mid,20.71,12.53,4.31,10.49,21.87,4.59,22.67,52.97
094,Guernsey,6,428.98,Early,21.22,19.1,6.12,18.14,24.43,3.66,17.38,79.1
095,Holstein,9,557.0,Early,26.31,15.36,7.15,14.41,28.68,3.81,15.8,41.49
096,Holstein,4,591.98,Mid,15.31,15.98,3.95,20.67,17.51,3.72,21.69,57.8
097,Holstein,2,640.01,Mid,19.04,19.34,7.59,29.92,22.94,4.7,15.74,44.53
098,Guernsey,3,516.67,Early,22.76,18.21,5.77,26.01,26.93,3.59,23.54,54.06
099,Holstein,5,677.99,Late,19.03,13.04,4.5,26.91,21.74,4.53,20.74,79.93
100,Holstein,4,744.05,Late,24.43,16.52,5.15,22.71,28.17,4.05,26.36,75.55
101,Guernsey,4,711.94,Late,22.23,15.54,4.56,10.83,24.16,4.63,19.58,41.93
102,Guernsey,2,415.85,Early,20.43,18.38,6.63,14.14,22.91,4.95,23.89,62.53
103,Guernsey,9,592.2,Mid,29.24,17.79,6.98,28.5,34.66,3.67,23.07,65.91
104,Holstein,9,441.97,Early,24.48,17.52,7.16,17.32,27.56,3.97,15.07,48.38
105,Guernsey,7,496.82,Mid,16.95,14.72,7.93,12.07,18.1,4.72,16.09,45.8
106,Guernsey,5,794.67,Late,23.4,18.44,6.96,24.05,27.37,3.9,19.36,76.18
107,Holstein,9,457.0,Late,26.71,12.42,6.01,15.99,28.69,3.82,28.23,78.75
108,Guernsey,6,599.56,Mid,25.63,13.28,4.7,15.38,27.84,4.74,17.21,79.68
109,Holstein,9,647.26,Mid,17.58,14.68,5.72,29.96,20.53,4.98,25.66,71.59
110,Jersey,4,680.99,Early,29.59,12.61,3.21,27.16,33.91,4.34,29.6,66.54
111,Guernsey,2,623.86,Late,21.73,13.88,6.72,18.16,23.82,3.92,26.86,53.83
112,Jersey,6,403.91,Early,17.39,18.64,5.23,29.61,21.01,4.1,18.64,46.86
113,Holstein,7,530.58,Early,17.7,19.59,3.1,23.0,21.16,3.76,28.63,43.16
114,Guernsey,5,607.08,Early,16.47,14.44,3.31,24.84,18.97,4.64,16.4,67.73
115,Holstein,7,435.15,Late,27.05,14.12,4.94,10.63,28.93,4.66,22.02,71.39
116,Jersey,4,540.25,Early,16.83,14.24,5.92,12.43,18.09,4.81,28.31,73.06
117,Holstein,6,413.28,Early,16.88,14.22,5.32,22.66,19.06,3.54,24.62,76.55
118,Guernsey,6,431.43,Early,27.76,12.29,6.1,27.98,31.43,4.34,21.2,75.2
119,Guernsey,6,558.77,Early,20.17,19.42,5.4,22.47,23.79,3.82,19.39,79.99
120,Jersey,4,453.09,Early,15.46,13.71,6.31,12.68,16.53,4.01,20.63,49.76
121,Holstein,4,627.02,Early,15.78,15.36,4.1,12.32,17.27,4.68,22.63,70.53
122,Guernsey,7,675.79,Late,17.13,12.08,3.56,26.88,19.48,3.79,19.79,63.46
123,Jersey,3,720.23,Early,18.2,18.86,5.98,12.79,20.43,4.46,29.53,50.45
124,Guernsey,7,480.06,Mid,24.98,17.85,5.42,20.4,28.81,4.48,29.0,79.28
125,Guernsey,5,466.99,Early,17.36,19.57,3.13,10.74,19.68,4.93,28.06,75.92
126,Holstein,2,441.83,Early,16.78,18.25,4.9,11.61,18.73,4.66,21.33,45.14
127,Guernsey,6,654.57,Late,26.47,14.51,3.53,23.45,30.3,4.71,25.37,41.05
128,Holstein,3,682.59,Late,25.07,13.98,5.66,23.78,28.34,4.3,28.54,67.53
129,Guernsey,2,412.63,Mid,21.53,17.58,4.98,16.83,24.44,3.78,27.76,64.17
130,Jersey,3,774.48,Mid,23.24,14.91,6.07,14.31,25.34,4.14,21.21,77.43
131,Guernsey,9,420.79,Late,19.68,16.53,7.03,26.27,22.86,4.32,16.69,49.36
132,Holstein,9,616.52,Late,22.24,12.05,4.5,14.34,23.79,4.52,16.13,43.38
133,Holstein,8,683.62,Early,22.6,12.5,7.81,20.84,24.64,4.41,23.66,50.37
134,Jersey,9,748.39,Late,20.81,16.28,5.68,29.36,24.58,4.09,24.64,40.76
135,Guernsey,7,685.63,Mid,28.6,16.53,6.09,12.96,31.45,3.9,27.75,41.44
136,Guernsey,9,720.69,Early,15.24,18.01,6.4,28.82,18.17,3.75,19.39,76.59
137,Jersey,4,535.78,Mid,26.73,13.06,6.33,13.66,28.53,4.54,17.51,54.08
138,Guernsey,6,725.93,Early,16.87,16.11,5.55,21.35,19.23,4.47,20.69,56.43
139,Guernsey,7,432.05,Late,26.96,13.56,5.14,17.54,29.59,4.53,20.3,40.73
140,Holstein,2,757.93,Mid,24.24,12.75,3.27,29.3,28.06,4.06,16.99,50.82
141,Guernsey,8,619.04,Early,27.65,15.28,3.11,15.47,30.82,3.89,25.08,72.19
142,Guernsey,8,726.92,Early,16.46,13.31,4.79,17.99,18.09,4.64,22.63,64.62
143,Jersey,8,580.93,Late,23.38,13.77,4.67,29.66,27.18,4.66,25.82,70.15
144,Jersey,2,657.43,Late,22.52,14.54,4.94,20.73,25.32,4.18,20.29,57.89
145,Holstein,2,610.56,Late,25.59,14.08,3.69,20.05,28.73,4.42,19.89,52.39
146,Guernsey,2,692.64,Mid,23.01,12.7,6.69,15.16,24.61,4.06,22.09,59.31
147,Guernsey,2,432.65,Early,23.11,12.72,7.28,24.03,25.67,4.55,28.16,52.92
148,Guernsey,8,424.14,Late,21.44,13.55,7.69,10.29,22.48,4.75,15.6,73.56
149,Holstein,8,498.84,Mid,19.63,12.4,5.46,10.99,20.64,4.53,27.07,51.91
150,Holstein,3,463.82,Mid,22.23,17.01,6.5,21.99,25.51,4.27,20.53,66.39
151,Jersey,7,748.71,Mid,16.78,14.3,7.28,16.83,18.3,4.19,27.82,45.48
152,Holstein,6,487.69,Late,29.42,14.24,5.09,29.07,34.19,4.46,27.03,67.47
153,Guernsey,9,790.35,Late,25.72,14.66,4.55,28.06,29.94,4.52,20.23,76.53
154,Guernsey,9,534.76,Early,29.29,17.3,7.68,24.27,33.86,4.34,25.41,64.34
155,Holstein,4,472.85,Early,18.4,18.97,5.58,26.36,21.96,4.44,17.39,62.39
156,Guernsey,8,715.88,Late,28.19,18.07,5.49,23.35,32.98,3.64,28.44,78.44
157,Guernsey,4,663.48,Mid,27.13,17.82,3.89,12.51,30.42,4.93,21.07,65.1
158,Holstein,7,599.28,Mid,25.16,15.88,3.54,25.31,29.38,4.69,21.83,50.38
159,Holstein,7,622.15,Mid,24.38,17.55,7.21,14.2,27.07,4.06,25.59,51.7
160,Guernsey,4,687.68,Early,19.75,16.42,6.07,16.47,22.04,4.34,27.31,68.21
161,Guernsey,8,491.38,Mid,27.25,13.73,4.63,26.38,31.23,3.57,18.55,69.42
162,Guernsey,4,798.53,Early,22.52,13.67,3.96,20.73,25.23,3.56,24.92,52.14
163,Jersey,9,789.92,Early,16.06,14.37,5.78,27.2,18.48,3.88,20.88,53.81
164,Jersey,3,660.13,Mid,19.69,19.29,5.92,14.26,22.34,4.53,20.53,79.64
165,Jersey,9,479.82,Mid,29.03,16.38,4.03,22.16,33.51,4.78,25.35,44.08
166,Holstein,5,672.09,Late,27.76,17.87,7.26,11.68,30.56,4.34,20.81,56.19
167,Jersey,8,428.88,Late,29.73,14.77,3.42,22.86,34.04,4.3,20.19,42.5
168,Holstein,8,412.26,Mid,24.42,15.26,4.78,25.25,28.2,4.1,27.54,72.84
169,Holstein,6,503.07,Early,18.71,13.0,6.4,21.7,20.7,3.74,16.52,43.69
170,Jersey,2,585.05,Early,17.44,13.37,4.37,15.32,18.98,3.68,25.14,66.96
171,Jersey,5,747.31,Early,17.8,18.62,7.14,10.63,19.64,4.64,18.73,42.26
172,Jersey,7,690.87,Early,15.3,16.68,6.7,12.39,16.76,4.89,15.23,66.91
173,Guernsey,8,697.08,Early,20.86,14.7,6.95,22.45,23.46,4.19,17.5,73.72
174,Jersey,4,570.2,Late,17.87,18.42,3.6,28.69,21.62,4.49,24.1,55.95
175,Guernsey,5,538.37,Mid,21.17,13.97,3.7,14.13,23.11,4.87,25.64,60.89
176,Holstein,6,548.42,Late,29.02,19.81,4.43,24.7,34.81,3.64,15.32,56.06
177,Guernsey,7,795.06,Early,21.46,14.76,5.59,27.33,24.81,4.66,15.55,52.02
178,Jersey,2,416.04,Early,28.17,14.7,6.74,20.42,31.42,4.43,28.54,72.13
179,Holstein,2,746.81,Early,24.08,14.5,7.18,23.39,27.12,4.4,16.1,50.88
180,Holstein,6,631.47,Early,18.71,12.98,6.52,26.3,21.12,3.94,28.41,68.92
181,Holstein,6,575.45,Mid,20.34,12.89,7.64,15.21,21.7,4.53,18.42,48.25
182,Guernsey,4,690.1,Early,16.26,17.18,6.69,15.94,18.18,4.69,26.1,49.99
183,Jersey,8,594.67,Mid,20.0,19.0,4.53,10.01,22.35,3.67,19.65,53.46
184,Holstein,2,749.37,Early,25.16,18.32,4.33,29.26,30.39,4.3,27.88,63.57
185,Holstein,7,760.28,Mid,16.08,13.13,6.48,28.35,18.34,3.65,25.51,58.18
186,Holstein,5,568.69,Late,18.08,16.36,3.96,25.29,21.16,4.81,21.03,69.81
187,Guernsey,7,510.73,Early,20.72,12.84,3.46,11.58,22.15,4.26,16.14,48.54
188,Guernsey,3,636.94,Mid,29.73,12.36,5.66,18.95,32.41,4.71,25.99,40.43
189,Jersey,3,764.95,Late,26.77,17.25,7.11,12.04,29.37,4.05,24.25,71.06
190,Guernsey,6,484.26,Early,26.0,16.28,3.51,10.32,28.52,3.69,15.04,72.87
191,Holstein,4,649.19,Early,16.74,12.66,6.96,22.32,18.47,3.56,15.14,42.38
192,Jersey,3,652.62,Early,26.71,12.28,7.06,29.22,30.28,3.92,27.13,64.44
193,Holstein,2,693.25,Mid,26.78,19.92,5.41,28.06,32.47,3.87,18.89,55.13
194,Holstein,7,452.63,Mid,24.02,12.24,3.29,23.94,27.04,4.34,24.54,71.76
195,Guernsey,7,686.33,Late,29.86,15.56,3.87,11.93,32.72,3.53,21.81,74.98
196,Jersey,6,763.61,Mid,19.88,16.04,6.54,15.48,21.97,4.28,27.95,74.04
197,Guernsey,8,471.87,Mid,29.12,12.94,6.56,16.4,31.41,4.09,28.75,71.09
198,Guernsey,8,495.02,Early,28.72,13.35,7.49,25.26,32.23,4.37,29.95,50.76
199,Jersey,5,788.56,Early,15.17,14.81,5.91,26.04,17.43,4.55,17.31,72.48
200,Holstein,6,472.39,Early,21.75,18.09,3.62,17.7,25.04,4.45,27.94,61.34
201,Holstein,9,741.75,Early,29.66,16.06,3.61,18.36,33.64,4.98,18.99,42.11
202,Jersey,5,596.91,Early,16.55,17.1,6.61,10.89,18.08,3.71,23.86,58.28
203,Holstein,9,498.89,Early,23.22,19.88,3.92,15.78,26.89,4.14,22.59,77.69
204,Jersey,8,748.3,Early,29.68,18.14,4.64,19.03,34.23,4.14,15.27,75.51
205,Jersey,6,578.12,Late,23.33,15.47,5.44,12.34,25.41,4.13,28.99,44.09
206,Guernsey,9,605.93,Late,17.85,15.57,3.12,19.07,20.27,4.5,16.17,69.77
207,Jersey,6,543.69,Late,23.73,16.95,4.24,27.06,28.09,4.23,25.32,72.23
208,Guernsey,6,637.18,Late,18.07,17.32,5.04,21.63,20.89,4.28,26.78,50.86
209,Holstein,8,465.41,Early,22.8,16.01,4.4,11.58,24.99,4.15,26.93,58.86
210,Holstein,5,556.43,Late,16.11,17.16,3.68,13.83,18.08,4.99,17.03,68.44
211,Holstein,5,787.76,Early,24.08,12.19,6.64,19.49,26.15,4.89,21.71,57.56
212,Holstein,6,503.25,Late,22.75,15.44,7.07,17.23,25.14,3.96,27.44,44.51
213,Guernsey,3,662.69,Mid,26.1,14.23,4.29,17.17,28.88,3.67,19.54,68.24
214,Holstein,4,530.08,Late,24.46,13.03,6.87,20.59,26.88,4.76,22.02,76.47
215,Jersey,8,709.39,Late,23.24,12.8,4.93,21.69,25.84,5.0,19.09,66.1
216,Jersey,4,452.35,Early,25.35,16.83,5.53,25.94,29.67,3.94,21.95,70.95
217,Jersey,4,787.93,Late,17.16,16.19,7.28,16.82,19.04,4.04,28.32,54.33
218,Guernsey,5,581.52,Mid,23.93,14.03,6.75,26.11,27.21,4.91,21.83,47.33
219,Holstein,5,494.42,Early,17.58,15.77,7.03,16.77,19.45,4.57,23.34,65.71
220,Holstein,3,429.4,Early,28.88,15.94,3.68,11.11,31.67,3.94,21.06,53.11
221,Holstein,4,467.9,Late,16.03,13.56,3.35,21.08,18.02,4.37,21.9,74.4
222,Guernsey,4,607.91,Early,21.46,17.22,7.47,21.76,24.54,4.92,15.23,44.91
223,Jersey,6,534.8,Early,25.44,18.25,4.94,28.69,30.56,4.72,19.26,57.34
224,Jersey,5,731.55,Early,21.87,18.33,4.44,24.52,25.89,4.61,21.55,55.87
225,Holstein,4,572.36,Early,16.38,16.82,6.62,28.36,19.28,4.61,24.51,77.52
226,Jersey,7,499.49,Early,23.3,16.09,7.18,28.17,27.16,3.77,21.75,46.13
227,Jersey,3,646.86,Early,24.62,12.49,7.31,22.09,27.05,4.74,20.07,40.39
228,Guernsey,9,682.71,Mid,25.56,14.3,4.58,20.56,28.7,3.91,20.82,49.52
229,Guernsey,7,466.82,Late,20.6,12.75,7.26,21.15,22.6,4.9,18.63,72.81
230,Guernsey,7,467.05,Mid,23.45,19.71,3.2,29.57,28.82,4.05,28.87,48.37
231,Guernsey,9,414.67,Early,21.76,13.08,3.25,25.46,24.85,4.79,22.83,49.64
232,Holstein,8,694.56,Early,25.08,13.21,6.12,12.13,26.64,3.9,15.2,45.2
233,Guernsey,8,665.52,Late,23.75,19.12,3.32,25.57,28.56,4.27,15.29,68.62
234,Jersey,3,589.85,Mid,22.89,19.55,4.62,13.41,26.08,3.66,29.59,42.77
235,Holstein,7,737.67,Late,18.74,18.13,6.36,18.95,21.44,4.49,18.32,53.25
236,Jersey,4,722.27,Mid,15.03,12.04,4.69,14.21,16.05,4.75,27.08,51.3
237,Jersey,5,634.14,Early,17.61,12.01,3.9,23.79,19.72,4.58,15.87,62.21
238,Jersey,3,747.31,Late,16.76,15.02,4.41,27.55,19.54,4.28,28.82,69.22
239,Guernsey,6,482.34,Late,21.74,13.15,5.29,15.81,23.57,3.57,28.12,61.32
240,Guernsey,9,444.77,Early,24.18,12.15,5.38,11.64,25.46,4.9,23.57,77.24
241,Holstein,7,507.9,Late,18.2,15.71,6.92,15.97,20.06,4.56,15.13,78.06
242,Holstein,3,422.83,Mid,29.09,19.54,6.75,23.45,34.29,4.62,18.87,54.46
243,Guernsey,2,612.47,Mid,15.1,14.59,5.28,16.58,16.65,4.69,21.1,71.11
244,Jersey,2,774.64,Mid,26.58,17.29,7.23,15.56,29.62,4.62,21.9,69.55
245,Holstein,8,415.74,Mid,24.38,17.22,3.57,13.69,27.37,4.16,19.47,75.72
246,Guernsey,9,448.84,Early,20.6,14.01,4.28,19.95,23.04,4.6,15.49,57.92
247,Guernsey,5,580.88,Late,15.76,17.2,7.14,15.52,17.56,4.44,23.85,61.22
248,Guernsey,4,773.55,Mid,24.41,13.7,4.89,24.62,27.72,4.78,22.86,56.63
249,Jersey,5,526.46,Early,20.78,12.98,7.91,11.53,21.78,4.7,19.25,74.02
250,Guernsey,5,602.89,Late,29.04,17.61,5.33,23.28,33.86,3.56,15.57,49.19
251,Guernsey,5,416.63,Late,23.13,12.91,6.96,14.75,24.7,4.07,29.92,49.59
252,Guernsey,9,459.34,Early,29.09,19.98,5.01,19.79,34.14,3.55,22.23,54.9
253,Guernsey,5,794.65,Early,18.31,13.47,5.12,15.72,19.92,3.65,26.34,49.21
254,Holstein,6,786.05,Mid,25.89,16.75,4.91,24.46,30.17,4.4,21.78,62.44
255,Holstein,9,401.98,Late,24.26,15.29,6.6,28.91,28.25,4.81,15.65,45.38
256,Guernsey,6,780.72,Late,26.09,13.01,5.74,28.34,29.82,3.68,19.64,52.81
257,Jersey,9,655.65,Early,18.22,12.22,7.72,21.67,19.9,4.18,19.8,76.54
258,Holstein,8,747.17,Late,24.97,16.98,4.25,19.25,28.59,4.87,27.58,56.37
259,Guernsey,3,581.9,Mid,22.47,18.45,3.5,26.37,26.94,4.72,24.81,69.93
260,Holstein,2,606.24,Late,26.14,18.74,4.97,23.67,30.87,4.28,19.13,44.54
261,Holstein,5,595.54,Early,19.91,15.86,6.08,13.67,21.83,4.66,29.52,49.9
262,Jersey,8,666.75,Early,28.35,18.22,7.3,26.42,33.39,4.28,19.82,72.29
263,Guernsey,3,455.86,Mid,16.26,17.38,4.73,18.58,18.59,3.74,29.97,70.52
264,Guernsey,2,411.99,Mid,27.11,17.79,6.27,13.78,30.24,3.69,29.94,55.45
265,Jersey,7,523.17,Late,27.92,15.94,4.75,15.64,31.1,3.78,17.87,78.18
266,Jersey,4,681.87,Late,27.26,17.07,6.09,15.35,30.45,4.03,19.69,76.43
267,Guernsey,6,480.74,Early,22.69,18.44,7.42,20.38,26.08,4.9,22.29,78.49
268,Guernsey,7,669.37,Mid,21.58,15.18,4.16,14.69,23.83,4.7,24.96,57.12
269,Jersey,9,787.96,Mid,29.94,18.45,5.02,12.47,33.59,4.15,22.92,47.9
270,Holstein,2,437.56,Mid,18.44,16.74,7.97,12.47,20.1,4.24,29.54,65.07
271,Holstein,7,669.04,Late,23.2,13.33,7.34,21.67,25.63,3.9,25.86,67.39
272,Jersey,4,577.5,Mid,25.06,12.2,5.82,24.7,27.98,4.56,18.18,45.02
273,Holstein,8,747.26,Early,25.51,14.9,5.58,16.43,28.14,4.7,16.58,71.46
274,Jersey,2,470.86,Early,18.06,16.37,4.42,10.69,19.78,3.86,25.33,40.72
275,Holstein,7,677.05,Late,24.81,18.72,5.59,12.54,27.84,3.56,17.38,59.31
276,Holstein,6,735.25,Late,27.28,13.02,7.24,28.29,30.98,4.44,26.82,53.24
277,Guernsey,6,777.85,Mid,15.75,18.4,6.43,19.87,18.13,4.34,19.67,69.61
278,Guernsey,3,673.3,Late,28.67,18.9,4.45,19.07,33.32,4.1,19.9,52.51
279,Holstein,7,598.87,Early,15.44,13.21,4.01,10.76,16.46,4.47,15.16,73.07
280,Holstein,5,647.14,Mid,20.34,18.81,4.33,24.57,24.19,4.33,25.52,63.8
281,Guernsey,7,747.56,Early,15.24,19.93,3.85,20.56,18.03,3.88,16.7,71.76
282,Guernsey,8,628.24,Mid,16.16,17.81,3.48,14.04,18.28,4.1,26.59,79.57
283,Guernsey,2,412.15,Late,28.67,18.28,5.1,12.2,32.06,4.14,22.38,67.17
284,Jersey,2,772.38,Mid,20.32,19.96,3.57,17.67,23.78,4.82,26.76,79.4
